id,item_category,item_type,title,brand,variant,description,why_chosen,life_stage,active,in_starter_kit,buy_url,source_suffix,image_url,image_count,sort,verified,date_added,comments
button-set-of-3,Toys & enrichment,Enrichment,Button,,Buttons - Pack of 3,"Train your cat with patience & consistency, talk to them with buttons.",Set of three buttons once your cat is using the first one. Training is a great way to bond with your cat.,,FALSE,FALSE,https://link.amazon/B05dBtOS7,,,1,,TRUE,,
button-single,Toys & enrichment,Enrichment,Button,,Get started with Buttons,"Train your cat with patience & consistency, talk to them with buttons.",Start with a single button. Training is a great way to bond with your cat.,,TRUE,FALSE,https://link.amazon/B0iNJz7u0,,,1,,TRUE,2026-07-15,
cat-litter-best,Litter,Litter,Cat litter,,Flakes (wood),"Clumping. Unscented with odour-control. Soft on paws.
Low dust. Flushable. Lasts long. Environment-friendly.",Low on dust & soft on their paws. Clumps well & easy to dispose. Lasts long.,,TRUE,TRUE,https://link.amazon/B0dPOzepN,,,2,,TRUE,2026-07-15,
cat-litter-tofu,Litter,Litter,Cat litter,,Tofu,"Medium clumping. Unscented with odour-control. Soft on paws.
Low dust. Flushable. Environment-friendly.",Low on dust & soft on their paws. Clumps well & easy to dispose. Lasts long.,,TRUE,FALSE,https://headsupfortails.com/products/meowsi-tofu-cat-litter-unscented-6ltr,utm_source=whiskerwise&utm_medium=curated-essentials,,3,,TRUE,2026-07-18,
creamy-treat-churu-chicken,Toppers & treats,Treat,Creamy treat,Churu,Chicken,"Great for training/bonding, giving medicines, or calming your cat in stressful situations.
Can be used as topper for tempting a picky eater.","High-quality treat: Use it for training, giving medicines, calming your cat in stressful situations.
or as a topper.",,TRUE,FALSE,https://link.amazon/B0cqu0yXr,,,2,,TRUE,2026-07-18,
creamy-treat-churu-tuna-salmon,Toppers & treats,Treat,Creamy treat,Churu,Tuna with Salmon recipe,"Great for training/bonding, giving medicines, or calming your cat in stressful situations.
Can be used as topper for tempting a picky eater.","High-quality treat: Use it for training, giving medicines, calming your cat in stressful situations.
or as a topper.",,TRUE,TRUE,https://link.amazon/B0184ZR7m,,,2,,TRUE,2026-07-18,
dry-food-adult-matisse-chicken,Food & feeding,Dry food,Dry food for Adult cats,Farmina,Matisse - Chicken & Rice,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists, with grains in appropriate proportion.",High quality and formulated by specialists with complete essential nutrients required for adult cats.,Adult,TRUE,TRUE,https://link.amazon/B0jagE0p1,,,1,,TRUE,2026-07-15,
dry-food-adult-nd-chicken,Food & feeding,Dry food,Dry food for Adult cats,Farmina,N&D - Chicken & Pomegranate,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists. Grain-free.",High quality and formulated by specialists with complete essential nutrients required for adult cats. ,Adult,TRUE,TRUE,https://link.amazon/B04vkPYqz,,,1,,TRUE,2026-07-15,
dry-food-adult-nd-ocean,Food & feeding,Dry food,Dry food for Adult cats,Farmina,N&D - Ocean,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists. Grain-free.",High quality and formulated by specialists with complete essential nutrients required for adult cats. ,Adult,TRUE,FALSE,https://link.amazon/B0aKsNNYQ,,,1,,TRUE,2026-07-15,
dry-food-kitten-matisse,Food & feeding,Dry food,Dry food for kittens,Farmina,Matisse,"Complete with all essential nutrients for growing kittens (1-12 months).
Formulated by nutritionists.","High quality and formulated by specialists with complete essential nutrients required for kittens (1-12 months). 
Small sized kibble for small kitten mouths.",Kitten,TRUE,TRUE,https://link.amazon/B04iOngB5,,,2,,TRUE,2026-07-18,
dry-food-royal-canin-adult-fit32,Food & feeding,Dry food,Dry food for adult cats,Royal Canin,Fit 32,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists. Ideal for highly active cats.",High quality and formulated by specialists with complete essential nutrients required for adult cats. ,Adult,FALSE,FALSE,https://link.amazon/B08LpOBgh,,,3,,TRUE,2026-07-18,
dry-food-royal-canin-adult-indoor27,Food & feeding,Dry food,Dry food for adult cats,Royal Canin,Indoor,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists. Ideal for low-moderately active cats.",High quality and formulated by specialists with complete essential nutrients required for adult cats. Slightly lower on calories.,Adult,FALSE,FALSE,https://link.amazon/B0dIsuUp5,,,3,,TRUE,2026-07-18,
dry-food-royal-canin-adult-sterlised,Food & feeding,Dry food,Dry food for adult cats,Royal Canin,Sterlised,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists. Ideal for low-moderately active cats.",High quality and formulated by specialists with complete essential nutrients required for adult cats. Slightly lower on calories.,Adult,FALSE,FALSE,https://link.amazon/B03SL0TYy,,,3,,TRUE,2026-07-18,
dry-food-royal-canin-kitten,Food & feeding,Dry food,Dry food for kittens,Royal Canin,,"Complete with all essential nutrients for growing kittens.
Formulated by nutritionists.","High quality and formulated by specialists with complete essential nutrients required for kittens (1-12 months). 
Small sized kibble for small kitten mouths.",Kitten,TRUE,FALSE,https://link.amazon/B0fTB1lO4,,,3,,TRUE,2026-07-18,
hard-carrier-savic,Carrier & outdoor,Carrier,Hard carrier,Savic,Savic,"Safe: Reliable quality material
Spacious: To move around
Convenient: Compact & top-open","A reliable hard carrier to safely move your cat, compact but top open for easy in/out transfer.",,TRUE,TRUE,https://headsupfortails.com/products/savic-trotter-carrier-for-2-pets-grey-ash-rose-56x37x33-cm,utm_source=whiskerwise&utm_medium=curated-essentials,,2,,TRUE,2026-07-18,
