id,item_category,item_type,title,brand,variant,description,life_stage,active,in_starter_kit,buy_url,source_suffix,image_url,image_count,sort,verified,date_added,comments
,Preventive care,,,,,,,,,,,,,,,
dry-food-adult-matisse-chicken,Food & feeding,Dry food,Adult dry food,Farmina,Matisse - Chicken & Rice,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists, with grains in appropriate proportion.",Adult,TRUE,TRUE,https://link.amazon/B0jagE0p1,,,1,,TRUE,2026-07-15,
dry-food-adult-nd-chicken,Food & feeding,Dry food,Adult dry food,Farmina,N&D - Chicken & Pomegranate,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists. Grain-free.",Adult,TRUE,TRUE,https://link.amazon/B04vkPYqz,,,1,,TRUE,2026-07-15,
dry-food-adult-nd-ocean,Food & feeding,Dry food,Adult dry food,Farmina,N&D - Ocean,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists. Grain-free.",Adult,TRUE,FALSE,https://link.amazon/B0aKsNNYQ,,,1,,TRUE,2026-07-18,
button-single,Toys & enrichment,Enrichment,Button,,Button - Get started,"Train your cat with patience & consistency, talk to them with buttons.",,TRUE,FALSE,https://link.amazon/B0iNJz7u0,,,1,,TRUE,2026-07-18,
button-set-of-3,Toys & enrichment,Enrichment,Button,,Buttons - Pack of 3,"Train your cat with patience & consistency, talk to them with buttons.",,FALSE,FALSE,https://link.amazon/B05dBtOS7,,,1,,TRUE,2026-07-18,
cat-litter-best,Litter,Litter,Cat litter,,Flakes (wood),"Clumping. Unscented with odour-control. Soft on paws.
Low dust. Flushable. Lasts long. Environment-friendly.",,TRUE,TRUE,https://link.amazon/B0dPOzepN,,,2,,TRUE,2026-07-15,
cat-litter-tofu,Litter,Litter,Cat litter,,Tofu,"Medium clumping. Unscented with odour-control. Soft on paws.
Low dust. Flushable. Environment-friendly.",,TRUE,FALSE,https://headsupfortails.com/products/meowsi-tofu-cat-litter-unscented-6ltr,utm_source=whiskerwise&utm_medium=curated-essentials,,0,,TRUE,2026-07-15,
creamy-treat-churu-tuna-salmon,Toppers & treats,Treat,Creamy treat,Churu,Tuna with Salmon recipe,"Great for training/bonding, giving medicines, or calming your cat in stressful situations.
Can be used as topper for tempting a picky eater.",,TRUE,TRUE,https://link.amazon/B0184ZR7m,,,2,,TRUE,2026-07-15,
creamy-treat-churu-chicken,Toppers & treats,Treat,Creamy treat,Churu,Chicken,"Great for training/bonding, giving medicines, or calming your cat in stressful situations.
Can be used as topper for tempting a picky eater.",,TRUE,FALSE,https://link.amazon/B0cqu0yXr,,,2,,TRUE,2026-07-18,
dry-food-royal-canin-adult-fit32,Food & feeding,Dry food,Dry food for adult cats,Royal Canin,Fit 32,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists. Ideal for highly active cats.",Adult,FALSE,FALSE,https://link.amazon/B08LpOBgh,,,3,,TRUE,2026-07-18,
dry-food-royal-canin-adult-indoor27,Food & feeding,Dry food,Dry food for adult cats,Royal Canin,Indoor,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists. Ideal for low-moderately active cats.",Adult,FALSE,FALSE,https://link.amazon/B0dIsuUp5,,,3,,TRUE,2026-07-18,
dry-food-royal-canin-adult-sterlised,Food & feeding,Dry food,Dry food for adult cats,Royal Canin,Sterlised,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists. Ideal for low-moderately active cats.",Adult,FALSE,FALSE,https://link.amazon/B03SL0TYy,,,3,,TRUE,2026-07-18,
dry-food-royal-canin-kitten,Food & feeding,Dry food,Dry food for kittens,Royal Canin,,"Complete with all essential nutrients for growing kittens.
Formulated by nutritionists.",Kitten,TRUE,FALSE,https://link.amazon/B0fTB1lO4,,,3,,TRUE,2026-07-18,
hard-carrier-savic,Carrier & outdoor,Carrier,Hard carrier,Savic,Savic,"Safe: Reliable quality material
Spacious: To move around
Convenient: Compact & top-open",,TRUE,TRUE,https://headsupfortails.com/products/savic-trotter-carrier-for-2-pets-grey-ash-rose-56x37x33-cm,utm_source=whiskerwise&utm_medium=curated-essentials,,2,,TRUE,2026-07-18,
hard-carrier-trixie,Carrier & outdoor,Carrier,Hard carrier,Trixie,Trixie,"Safe: Reliable quality material
Spacious: To move around
Convenient: Compact & top-open",,FALSE,FALSE,https://headsupfortails.com/products/trixie-capri-2-dog-cat-carrier-21-6-x-14-5-x-13-3-inch-holds-up-to-8-kg?variant=32451363504190,utm_source=whiskerwise&utm_medium=curated-essentials,,2,,TRUE,2026-07-18,
harness-buraq,Carrier & outdoor,Harness,Harness,,Size: Small,"Snug, no-pull harness. Select correct size to ensure it is escape-proof.
Be very careful about taking your cat outdoors.",,TRUE,FALSE,https://link.amazon/A0dYGgpvq,,,1,,TRUE,2026-07-18,
dry-food-kitten-matisse,Food & feeding,Dry food,Dry food for kittens,Farmina,(Matisse),"Complete with all essential nutrients for growing kittens (1-12 months).
Formulated by nutritionists.",Kitten,TRUE,TRUE,https://link.amazon/B04iOngB5,,,2,,TRUE,2026-07-15,
litter-box-steel-support,Litter,Litter box,Litter box,,Steel with support,"Durable. Hygenic & easy to clean.
Open & apacious for regular-sized adult cats.",,TRUE,FALSE,https://link.amazon/B0b4nxzjC,,,2,,TRUE,2026-07-15,
litter-box-steel-plain,Litter,Litter box,Litter box,,Steel,"Durable. Hygenic & easy to clean.
Spacious for regular-sized adult cats.",,TRUE,TRUE,https://link.amazon/B00VykKHx,,,4,,TRUE,2026-07-18,
litter-box-plastic,Litter,Litter box,Litter box,,Plastic,"Light weight. Requires deep-cleaning, plastic is prone to scratches.
Spacious for regular-sized adult cats.",,TRUE,TRUE,https://link.amazon/B0137mzQX,,,2,,TRUE,2026-07-15,
wet-food-royal-canin-baby-kitten,Food & feeding,Wet food,Kitten milk replacer,Royal Canin,,"Complete with all essential nutrients for baby kittens, from birth-8 weeks or for weaning to kitten wet food.",Kitten,TRUE,FALSE,https://amzn.in/d/032WBZj6,,,3,,TRUE,2026-07-18,
scratcher-cardboard-wave,Toys & enrichment,Scratcher,Scratcher,,Cardboard - Wave,Scratcher made with corrugated cardboard.,,TRUE,TRUE,https://link.amazon/B0aMjEev1,,,2,,TRUE,2026-07-18,
soft-carrier-fofos-backpack,Carrier & outdoor,Carrier,Soft back-pack,Fofos,Fofos,"Safe: Reliable quality of mesh
Spacious: To move around
Convenient: Easy to carry",,FALSE,FALSE,https://shakehands.co.in/products/fofos-backpack-carrier?,utm_source=whiskerwise&utm_medium=curated-essentials,,1,,TRUE,2026-07-15,out of stock
soft-carrier-trixie-backpack,Carrier & outdoor,Carrier,Soft back-pack,Trixie,Trixie,"Safe: Reliable quality of mesh
Spacious: To move around
Convenient: Easy to carry",,TRUE,FALSE,https://headsupfortails.com/products/trixie-timon-rucksack-holds-up-to-12-kg,utm_source=whiskerwise&utm_medium=curated-essentials,,1,,TRUE,2026-07-18,
toy-tunnel-three-way,Toys & enrichment,Toy,Tunnel,,3-way crinkle tunnel,"The best thing you can do is– play with your cat!
Experiment with toys (& gameplay) to see what your cat likes.",,TRUE,TRUE,https://link.amazon/B0inZ8qUK,,,4,,TRUE,2026-07-18,
toy-wand-feather-elastic,Toys & enrichment,Toy,Wand toy,,Feather on elastic,"The best thing you can do is– play with your cat!
Experiment with toys (& gameplay) to see what your cat likes.",,TRUE,FALSE,https://link.amazon/B043n5ijq,,,1,,TRUE,2026-07-18,
